Start time          	End time            	ID
--------------------	--------------------	--
10-Jul-2008 09:14:32	10-Jul-2008 09:14:41	1
10-Jul-2008 09:14:45	10-Jul-2008 09:20:09	3
10-Jul-2008 09:20:17	10-Jul-2008 09:26:38	4
10-Jul-2008 09:26:41	10-Jul-2008 09:29:13	5
10-Jul-2008 09:30:27	10-Jul-2008 09:48:48	6
11-Jul-2008 08:41:57	11-Jul-2008 08:42:17	1
11-Jul-2008 08:42:20	11-Jul-2008 08:48:11	3
11-Jul-2008 08:48:12	11-Jul-2008 08:57:15	4
11-Jul-2008 08:57:17	11-Jul-2008 09:00:51	5
11-Jul-2008 09:01:10	11-Jul-2008 09:18:00	6
14-Jul-2008 08:57:15	14-Jul-2008 08:57:33	1
14-Jul-2008 08:57:39	14-Jul-2008 09:06:37	3
14-Jul-2008 09:06:40	14-Jul-2008 09:12:31	4
14-Jul-2008 09:14:23	14-Jul-2008 09:18:25	5
14-Jul-2008 09:18:39	14-Jul-2008 09:33:07	6
15-Jul-2008 09:02:17	15-Jul-2008 09:02:26	1
15-Jul-2008 09:02:35	15-Jul-2008 09:11:48	3
15-Jul-2008 09:11:50	15-Jul-2008 09:17:51	4
15-Jul-2008 09:19:54	15-Jul-2008 09:23:36	5
15-Jul-2008 09:24:03	15-Jul-2008 09:38:35	6
16-Jul-2008 09:08:43	16-Jul-2008 09:08:47	1
16-Jul-2008 09:08:52	16-Jul-2008 09:12:40	3
16-Jul-2008 09:12:45	16-Jul-2008 09:22:01	4
16-Jul-2008 09:22:08	16-Jul-2008 09:25:46	5
16-Jul-2008 09:26:00	16-Jul-2008 09:45:12	6
17-Jul-2008 09:12:22	17-Jul-2008 09:12:23	1
17-Jul-2008 09:12:30	17-Jul-2008 09:17:16	3
17-Jul-2008 09:17:18	17-Jul-2008 09:23:11	4
17-Jul-2008 09:23:13	17-Jul-2008 09:27:12	3
17-Jul-2008 09:27:13	17-Jul-2008 09:34:33	4
17-Jul-2008 09:34:40	17-Jul-2008 09:38:44	5
17-Jul-2008 09:38:46	17-Jul-2008 09:49:23	6
18-Jul-2008 08:51:52	18-Jul-2008 08:59:08	3
18-Jul-2008 08:59:09	18-Jul-2008 09:11:31	4
18-Jul-2008 09:11:30	18-Jul-2008 09:16:50	5
18-Jul-2008 09:16:54	18-Jul-2008 09:27:30	6
21-Jul-2008 06:06:46	21-Jul-2008 09:15:24	4
21-Jul-2008 08:52:42	21-Jul-2008 08:52:48	1
21-Jul-2008 08:52:51	21-Jul-2008 09:06:46	3
21-Jul-2008 09:15:27	21-Jul-2008 09:19:00	5
21-Jul-2008 09:19:00	21-Jul-2008 09:29:13	6
22-Jul-2008 09:29:28	22-Jul-2008 09:29:31	1
22-Jul-2008 09:29:35	22-Jul-2008 09:34:24	3
22-Jul-2008 09:34:22	22-Jul-2008 09:41:28	4
22-Jul-2008 09:41:29	22-Jul-2008 09:45:04	5
22-Jul-2008 09:45:02	22-Jul-2008 10:05:05	6
23-Jul-2008 08:52:32	23-Jul-2008 08:52:39	1
23-Jul-2008 08:52:40	23-Jul-2008 08:58:42	3
23-Jul-2008 08:58:42	23-Jul-2008 09:07:29	4
23-Jul-2008 09:07:33	23-Jul-2008 09:11:31	5
23-Jul-2008 09:11:34	23-Jul-2008 09:28:30	6
